id,category,title,body,session_short_text
cmq1bcrkp0002uikxxmi4onqw,AZUL,Mãos lentas,"Quem conduz deve tocar o corpo inteiro da outra pessoa lentamente, sem ir direto às partes íntimas.

A intenção é acordar o corpo antes de aumentar a intensidade.

Tempo sugerido: até 5 minutos.",
cmq1bcrli0003uikxep36mj4f,AZUL,Mapa de calor,"Quem recebe escolhe três partes do corpo para receber atenção.

Quem conduz deve alternar mãos, boca e respiração, sem pressa.",
cmq1bcrjz0001uikx166j7wfr,AZUL,Escolha do corpo,"A sessão começa com uma escolha sorteada:

1. massagem livre no corpo inteiro;
2. massagem como profissional e cliente;
3. massagem profissional com pequenos deslizes provocantes.

Quem recebe apenas relaxa e guia o ritmo com poucas palavras.",
cmq1bcrmg0004uikx3n5xsohu,AZUL,Só pode provocar,"Durante esta carta, quem conduz pode beijar, encostar e provocar, mas não pode ir direto para o ato principal.

Quem recebe pode pedir mais intensidade, mas o limite da carta é manter o desejo crescendo.

Tempo máximo: 4 minutos.",
cmq1bcrng0005uikxo341htff,AZUL,Profissional e cliente,"Sorteiem quem será profissional e quem será cliente.

A cena deve começar como uma massagem séria, mas aos poucos o toque passa a ficar mais íntimo e ambíguo.

Nada precisa ser exagerado. O clima está no deslize.",
cmq1bcrop0006uikx2yxhrnu1,AZUL,"Sem pressa, sem fala","Por alguns minutos, ninguém explica nada.

Só toque, respiração, beijo e olhar.

Quem conduz deve perceber o corpo da outra pessoa sem perguntar demais.",
cmq1bcrqw0008uikx6i53qexd,DERIVA,Beijo que desce,"Comecem com beijo na boca.

Depois, o beijo deve descer lentamente pelo pescoço, colo, barriga ou costas, sem pressa.

Tempo sugerido: até 3 minutos.",
cmq1bcrua000cuikxag0qtnyb,DERIVA,O app provocou,"Quem pulou alguma carta nesta sessão deve receber uma provocação leve agora.

A outra pessoa escolhe entre:

1. beijo demorado;
2. toque por cima da roupa;
3. frase safada no ouvido;
4. ficar sem tocar por 1 minuto enquanto apenas olha.

Se ninguém pulou carta, sorteiem uma das quatro opções mesmo assim.",
cmq1bcrt3000buikxl9fhdqna,DERIVA,Pausa grudada,"Fiquem bem próximos, com o corpo encostado, sem pressa para avançar.

Quem quiser pode guiar a mão da outra pessoa para onde deseja receber carinho.",
cmq1bcrrr0009uikxtxmk55nm,DERIVA,Uma frase perigosa,"Cada um deve dizer uma frase curta começando com:

“Agora eu queria…”

Não precisa explicar demais.

A frase deve provocar, não virar conversa longa.",
cmq1bcrsp000auikxdupg952k,DERIVA,Controle suspenso,"Quem recebeu a carta escolhe uma regra temporária para a próxima carta:

- sem usar as mãos;
- sem beijo na boca;
- sem tirar a roupa que ainda resta;
- sem tocar nas partes íntimas até o final da próxima carta.

A regra deve provocar, não travar o jogo.",
cmq1bcrpq0007uikxjtgwdtju,DERIVA,Bebida e olhar,"Pausa breve.

Tomem um gole, se aproximem e fiquem alguns segundos apenas se olhando.

Depois, quem quiser pode dizer uma frase curta sobre o que está com vontade de fazer.",
cmq1bcs2k000kuikx7m0dih8e,ROSA,Ela escolhe a sequência,"A mulher escolhe a ordem:

1. beijo;
2. mãos;
3. oral;
4. posição de controle.

A carta termina quando ela decidir avançar ou trocar de categoria.",
cmq1bcrv8000duikx18aht153,ROSA,Ela guia,"A mulher recebe atenção íntima com boca, mãos ou ambos.

Ela pode guiar ritmo, pressão e posição, sem precisar justificar.

Tempo máximo: 6 minutos.",
cmq1bcrw2000euikxfhpc1wjt,ROSA,Controle dela,"A mulher escolhe a posição em que quer receber prazer.

Quem conduz deve obedecer ao ritmo dela e só mudar se ela permitir.",
cmq1bcrxl000fuikxeeiu6r4k,ROSA,Boca e pausa,"Quem conduz deve alternar prazer oral e pausas curtas de provocação.

A pausa serve para aumentar a vontade, não para quebrar o clima.

Tempo máximo: 5 minutos.",
cmq1bcrzb000huikx4mf2y3s3,ROSA,Só o clímax importa,"Durante esta carta, o foco é exclusivamente o prazer dela.

Sem cobrança de chegar ao orgasmo.

A meta é aumentar excitação, resposta do corpo e entrega.

Tempo máximo: 7 minutos.",
cmq1bcs0f000iuikxw9vtrxe6,ROSA,Guia sem vergonha,"A mulher deve guiar com frases simples:

- “mais devagar”;
- “continua”;
- “mais forte”;
- “aí”;
- “não muda”.

Quem conduz deve seguir sem discutir.",
cmq1bcs39000luikx2ak5t8zk,ROSA,Vontade confessada,"A mulher completa a frase:

“Hoje eu quero que você…”

Ela pode ser direta, vaga ou apenas apontar com o corpo.

Quem ouve deve executar dentro do limite combinado.",
cmq1bcryc000guikxhboo4mk3,ROSA,Ela por cima,"A mulher fica no controle do ritmo.

Pode usar beijo, mãos, quadril, voz ou silêncio.

A outra pessoa deve acompanhar sem tentar dominar a cena.",
cmq1bcs1z000juikx6vo8uv86,ROSA,Mãos obedientes,"A mulher posiciona as mãos da outra pessoa onde quiser.

A outra pessoa só pode mudar o toque se ela permitir.

Tempo sugerido: até 4 minutos.",
cmq1bcsai000suikxyf8i20l6,ROXO,O receptor manda,"Quem recebe escolhe:

1. oral;
2. mãos;
3. vibrador;
4. combinação livre.

Quem conduz não escolhe a técnica, apenas executa e ajusta.",
cmq1bcs6h000ouikxwhbojn1n,ROXO,"Sem tela, só boca","Sem vídeo nesta carta.

Quem receber deve apenas relaxar e guiar o ritmo.

Quem conduz deve usar boca e mãos, alternando intensidade.

O receptor pode inverter o destino da carta.",
cmq1bcs9y000ruikxzuj0ornm,ROXO,Oral interrompido,"Quem conduz começa oral ou masturbação, mas deve interromper brevemente sempre que quem recebe parecer perto demais do pico.

A pausa deve ser provocante, com beijo, olhar ou frase curta.

Tempo máximo: 6 minutos.",
cmq1bcs90000quikx19gg9upk,ROXO,Copiar só a energia,"Sorteiem um vídeo curto.

A regra não é copiar a cena inteira, mas copiar a energia: ritmo, provocação, posição do corpo ou atitude.

Não usar esta carta durante penetração.",
cmq1bcs7r000puikx0nhodx1e,ROXO,"Três vídeos, uma escolha","O sistema sorteia até 3 vídeos.

O casal pode pular os dois primeiros e, no terceiro, escolher entre os sorteados.

Quem recebe assiste.

Quem conduz executa com mãos, boca ou vibrador.",
cmq1bcs48000muikxnfbmjn8e,ROXO,Tela para ela,"Sorteie um vídeo conforme a regra do deck.

A mulher assiste enquanto recebe oral, mãos, vibrador ou masturbação.

Distribuição recomendada do vídeo:

- 70% lésbico;
- 20% FFM;
- 10% MMF.

Ela pode pedir para trocar até o limite de pulos de vídeo.",
cmq1bcs59000nuikxwuc29qt5,ROXO,Tela para ele,"Sorteie um vídeo conforme a regra do deck.

O homem assiste enquanto recebe oral, mãos ou masturbação.

Distribuição recomendada do vídeo:

- 70% FFM;
- 10% face FM;
- 20% lésbico.",
cmq1bcsdc000wuikx90n5ux1t,VERMELHO,Sem trocar por 3 minutos,"Escolham uma posição.

Durante até 3 minutos, não podem trocar.

O desafio é variar ritmo, beijo, mãos e pressão sem mudar a base.",
cmq1bcsex000yuikx2k217q39,VERMELHO,Proibido penetrar,"Durante esta carta, não pode haver penetração.

Só boca, mãos, corpo, beijo, atrito e provocação.

A graça é aumentar a vontade sem entregar tudo imediatamente.

Tempo máximo: 5 minutos.",
cmq1bcsfq000zuikxop4k3x4w,VERMELHO,Pico opcional,"Esta carta só vale se ambos quiserem subir a intensidade.

Pode envolver posição mais forte, fantasia corporal ou prática previamente aceita pelo casal.

Se qualquer um hesitar, transforme esta carta em Deriva.",
cmq1bcsbm000uuikxmfzpkq6v,VERMELHO,Posição escolhida por ela,"A mulher escolhe a posição e o ritmo inicial.

A outra pessoa só pode assumir mais controle se ela permitir.",
cmq1bcsb5000tuikx37qwyqu9,VERMELHO,Ritmo crescente,"Comecem em ritmo lento.

A cada minuto, aumentem um pouco a intensidade.

Quem recebe pode dizer “fica” para manter o ritmo atual.",
cmq1bcscj000vuikxyv6npxly,VERMELHO,"Forte, mas atento","A intensidade pode subir, mas deve continuar responsiva.

Quem conduz precisa observar respiração, corpo e reação.

Nada de ignorar sinais.",
cmq1bcse3000xuikxcczoi95g,VERMELHO,Ela no comando do fim,"A mulher decide se esta carta será:

1. mais lenta;
2. mais forte;
3. com pausa provocante;
4. com troca de posição;
5. com encerramento suave.

A decisão dela guia o restante da carta.",
cmq1bcsj30016uikxrbgoi0zz,PRETO,Proibição mental,"Durante a próxima carta, uma regra deve ser obedecida:

1. não pode pedir;
2. não pode tocar com as mãos;
3. não pode beijar a boca;
4. não pode mudar de posição;
5. não pode acelerar.

Sorteiem uma opção.

A regra dura apenas uma carta.",
cmq1bcsik0015uikx7qjv4aet,PRETO,Terceira presença imaginária,"Imaginem uma terceira pessoa adulta apenas como presença na fantasia.

Ninguém precisa dizer rosto, nome ou identidade.

A cena deve focar no casal e na sensação de estar sendo observado ou desejado.

Não vale citar ex.",
cmq1bcsh10010uikx86noco8d,PRETO,Personagens sorteados,"Sorteiem personagem e situação.

Ambos devem entrar na cena sem exagerar.

Sugestões possíveis:

- massagista e cliente;
- enfermeira e paciente adulto;
- dois estranhos em hotel;
- policial e suspeita adulta;
- amantes se encontrando escondido;
- professora/professor e aluno adulto;
- personagem livre escolhido pelo sistema.",
cmq1bcshk0011uikxvc5dwf7k,PRETO,Mistério permitido,"Uma pessoa pode imaginar outra pessoa ou não imaginar ninguém.

Não precisa revelar nada.

A outra pessoa deve apenas seguir a cena como se existisse um segredo no ar.

Regra: ninguém pergunta quem foi, nem depois.",
cmq1bcshw0012uikxji93i7zm,PRETO,Ordem sussurrada,"Quem recebeu a carta deve sussurrar uma ordem curta.

Quem ouve deve cumprir dentro dos limites combinados.

A ordem deve ser direta, mas não precisa ser extrema.",
cmq1bcsi50013uikx8k6tgtej,PRETO,Cena de hotel,"Vocês são dois adultos que acabaram dividindo o mesmo quarto por acaso.

A atração já está óbvia, mas ninguém quer admitir primeiro.

A cena começa com provocação verbal e aproximação lenta.",
cmq1bcsi80014uikxs83gh7ob,PRETO,Profissional com deslize,"Sorteiem quem será o profissional e quem será o cliente.

A cena começa formal, mas o toque passa do limite de propósito.

Quem recebe decide até onde o deslize continua.",
